ymd,last_date,event_most_recent,v_max,v_min,transaction_count,med_delta_t,cum_time,recency
2022-03-24,2022-03-24 10:36:53,2022-03-24 03:46:34,197.96,193.56,6,1.0000000000000002,360s,410.31666666666666
2022-04-01,2022-04-01 23:59:00,2022-04-01 22:03:32,197.99,191.3,29,1.0000000000000002,1740s,115.46666666666667
2022-04-02,2022-04-02 23:59:29,2022-04-02 06:39:29,198.0,186.75,159,1.0000000000000002,9540s,1040.0000000000002
2022-04-03,2022-04-03 23:59:24,2022-04-03 22:23:04,193.09,193.09,1,1.0000000000000002,60s,96.33333333333333
2022-04-04,2022-04-04 23:59:24,2022-04-04 23:30:17,196.13,196.13,1,1.0000000000000002,60s,29.116666666666667
2022-04-07,2022-04-07 23:59:13,2022-04-07 00:51:55,195.27,195.27,1,1.0166666666666668,60s,1387.3
2022-03-23,2022-03-23 23:59:10,2022-03-23 22:19:53,197.98,175.75,117,1.0000000000000002,7020s,99.28333333333333
2022-03-24,2022-03-24 23:59:33,2022-03-24 16:09:46,197.95,188.01,39,1.0000000000000002,2340s,469.78333333333336
2022-03-25,2022-03-25 23:59:31,2022-03-25 23:38:24,197.96,166.99,230,1.0000000000000002,13800s,21.116666666666667
2022-03-26,2022-03-26 23:59:13,2022-03-26 23:59:13,198.0,169.28,274,1.0000000000000002,16440s,0.0
2022-03-27,2022-03-27 23:59:43,2022-03-27 23:59:43,198.0,153.62,426,1.0000000000000002,25560s,0.0
2022-03-28,2022-03-28 23:59:51,2022-03-28 22:06:25,198.0,186.72,193,1.0000000000000002,11580s,113.43333333333334
2022-03-29,2022-03-29 23:59:39,2022-03-29 23:32:32,197.99,162.42,260,1.0000000000000002,15600s,27.116666666666667
2022-03-30,2022-03-30 23:59:12,2022-03-30 23:54:11,197.94,165.72,337,1.0000000000000002,20220s,5.016666666666667
2022-03-31,2022-03-31 23:59:39,2022-03-31 22:41:20,197.97,159.07,372,1.0000000000000002,22320s,78.31666666666666
2022-04-01,2022-04-01 23:58:15,2022-04-01 23:51:14,197.98,169.84,279,1.0000000000000002,16740s,7.016666666666667
2022-04-02,2022-04-02 23:59:09,2022-04-02 00:42:23,196.16,196.16,1,1.0000000000000002,60s,1396.7666666666667
2022-04-04,2022-04-04 23:59:36,2022-04-04 20:56:52,197.63,197.63,1,1.0000000000000002,60s,182.73333333333332
2022-04-05,2022-04-05 23:59:17,2022-04-05 23:32:10,198.0,159.39,233,1.0000000000000002,13980s,27.116666666666667
2022-04-06,2022-04-06 23:59:47,2022-04-06 22:10:22,197.95,167.83,227,1.0000000000000002,13620s,109.41666666666667
2022-04-07,2022-04-07 23:59:53,2022-04-07 21:28:20,197.91,177.22,131,1.0000000000000002,7860s,151.55
2022-04-08,2022-04-08 23:59:53,2022-04-08 21:11:17,197.91,173.34,144,1.0000000000000002,8640s,168.6
2022-04-09,2022-04-09 23:59:14,2022-04-09 20:51:27,197.94,174.97,123,1.0000000000000002,7380s,187.78333333333333
2022-04-10,2022-04-10 23:58:58,2022-04-10 23:08:45,197.94,157.85,284,1.0000000000000002,17040s,50.21666666666667
2022-04-11,2022-04-11 23:59:58,2022-04-11 22:33:40,198.0,160.79,268,1.0000000000000002,16080s,86.3
2022-04-12,2022-04-12 23:59:28,2022-04-12 23:58:28,197.97,152.5,441,1.0000000000000002,26460s,1.0000000000000002
2022-04-13,2022-04-13 23:59:38,2022-04-13 23:59:38,197.97,142.86,541,1.0000000000000002,32460s,0.0
2022-04-14,2022-04-14 23:59:47,2022-04-14 23:59:47,197.94,158.65,539,1.0000000000000002,32340s,0.0
2022-04-15,2022-04-15 23:59:40,2022-04-15 23:59:40,198.0,159.7,733,1.0000000000000002,43980s,0.0
2022-04-16,2022-04-16 23:58:58,2022-04-16 23:58:58,197.99,156.8,655,1.0000000000000002,39300s,0.0
2022-04-17,2022-04-17 23:59:10,2022-04-17 22:25:50,197.99,169.86,399,1.0000000000000002,23940s,93.33333333333333
2022-04-18,2022-04-18 23:59:54,2022-04-18 21:28:13,197.95,177.27,195,1.0000000000000002,11700s,151.68333333333334
2022-04-19,2022-04-19 23:59:21,2022-04-19 23:20:12,197.93,181.53,153,1.0000000000000002,9180s,39.15
2022-04-20,2022-04-20 23:59:57,2022-04-20 23:59:57,197.99,180.88,138,1.0000000000000002,8280s,0.0
2022-04-21,2022-04-21 23:59:23,2022-04-21 22:52:09,197.95,160.6,416,1.0000000000000002,24960s,67.23333333333333
